,Address,Area,Baths,Beds,Price
108,"1442 Fairmont St Nw Apt B, Washington, DC 20009","1,800 sqft",3,3,$700k
109,"560 N St Sw Apt N509, Washington, DC 20024",677 sqft,1,1,$320k
110,"5917 Dix St Ne, Washington, DC 20019",0.04 acres,3,4,$287k
111,"2007 Wyoming Ave Nw #15, Washington, DC 20009",N/A,2,1,$599k
112,"75 Danbury St Sw, Washington, DC 20032",0.01 acres,4,3,$340k
113,"3207 Sutton Pl Nw Apt B, Washington, DC 20016","1,332 sqft",3,2,$782k
114,"715 6th St Nw Unit 205, Washington, DC 20001","1,133 sqft",2,1,$570k
115,"4301 Military Rd Nw Apt 311, Washington, DC 20015",980 sqft,2,2,$710k
116,"3600 28th St Ne, Washington, DC 20018",0.12 acres,3,3,$625k
117,"3075 Hawthorne Dr Ne #3075, Washington, DC 20017",900 sqft,2,2,$325k
118,"1813 Kalorama Rd Nw Apt 3, Washington, DC 20009",950 sqft,2,2,$650k
119,"4724 Jay St Ne, Washington, DC 20019","1,238 sqft",3,3,$489k
120,"47 S St Nw, Washington, DC 20001","2,391 sqft",3,4,$1.02m
121,"2101 Connecticut Ave Nw Apt A, Washington, DC 20008","1,000 sqft",1,1,$650k
122,"2301 Connecticut Ave Nw Apt 2c, Washington, DC 20008","1,450 sqft",3,2,$1.20m
123,"1301 Longfellow St Nw Apt 309, Washington, DC 20011",676 sqft,1,1,$220k
124,"4311 Massachusetts Ave Nw, Washington, DC 20016","1,184 sqft",3,2,$625k
125,"315 W St Ne, Washington, DC 20002",0.07 acres,N/A,N/A,$500k
126,"2002 Massachusetts Ave Nw #2a, Washington, DC 20036","5,400 sqft",5,4,$4.00m
127,"3016 O St Nw, Washington, DC 20007","4,200 sqft",6,6,$3.35m
128,"637 4th St Ne, Washington, DC 20002","2,528 sqft",3,3,$1.19m
129,"4110 5th St Nw, Washington, DC 20011","1,702 sqft",3,3,$550k
130,"2475 Virginia Ave Nw #107, Washington, DC 20037",938 sqft,1,1,$339k
131,"2400 41st St Nw Apt 215, Washington, DC 20007",842 sqft,1,1,$280k
132,"1557 33rd St Nw, Washington, DC 20007",0.05 acres,2,3,$2.25m
133,"1816 New Hampshire Ave Nw Apt 502, Washington, DC 20009",374 sqft,1,N/A,$259k
134,"427 6th St Ne, Washington, DC 20002","1,920 sqft",2,4,$1.06m
135,"725 46th St Se, Washington, DC 20019",0.13 acres,2,4,$490k
136,"2325 42nd St Nw Apt 210, Washington, DC 20007",710 sqft,1,1,$289k
137,"211 55th St Ne, Washington, DC 20019",800 sqft,1,2,$325k
138,"3121 Patterson St Nw, Washington, DC 20015","2,585 sqft",3,4,$995k
139,"2725 39th St Nw Apt 112, Washington, DC 20007",974 sqft,1,2,$400k
140,"2120 Vermont Ave Nw Apt 121, Washington, DC 20001",611 sqft,1,1,$425k
141,"520 E St Ne Apt 404, Washington, DC 20002",667 sqft,1,1,$449k
142,"9 Pomander Walk Nw, Washington, DC 20007",0.01 acres,1,1,$649k
143,"1117 10th St Nw Apt 912, Washington, DC 20001",830 sqft,1,1,$459k
144,"2125 14th St Nw Apt 521, Washington, DC 20009",555 sqft,1,N/A,$395k
145,"3831 Garfield St Nw, Washington, DC 20007","2,684 sqft",4,3,$1.25m
146,"7960 W Beach Dr Nw, Washington, DC 20012","5,024 sqft",4,4,$1.08m
147,"3001 Veazey Ter Nw Apt 1320, Washington, DC 20008","1,385 sqft",2,2,$575k
148,"4113 Meade St Ne, Washington, DC 20019","2,764 sqft",3,3,$495k
149,"5712 8th St Nw, Washington, DC 20011","2,122 sqft",3,3,$770k
150,"6013 New Hampshire Ave Ne, Washington, DC 20011","1,442 sqft",3,3,$600k
151,"2201 Upshur St Ne, Washington, DC 20018",0.09 acres,2,2,$560k
152,"144 Webster St Ne, Washington, DC 20011","1,152 sqft",3,3,$550k
153,"4301 Military Rd Nw Apt 502, Washington, DC 20015","2,160 sqft",3,2,$1.49m
154,"1230 23rd St Nw Apt 905, Washington, DC 20037",566 sqft,1,1,$420k
