,Address,Area,Baths,Beds,Price
656,"5308 5th St Nw, Washington, DC 20011","2,036 sqft",3.5,3,$800k
657,"615 Franklin St Ne, Washington, DC 20017","1,336 sqft",1.5,3,$479k
658,"400 Massachusetts Ave Nw Apt 506, Washington, DC 20001",900 sqft,1,2,$585k
659,"1524 18th St Nw Apt 3, Washington, DC 20036",410 sqft,1,1,$450k
660,"1177 22nd St Nw Unit 9f, Washington, DC 20037","1,845 sqft",2,2,$1.98m
661,"5108 9th St Nw, Washington, DC 20011","1,320 sqft",4,4,$725k
662,"918 Hamilton St Nw, Washington, DC 20011",0.04 acres,4,4,$790k
663,"1232 Quincy St Nw #1, Washington, DC 20011","2,000 sqft",4,3,$850k
664,"727 13th St Ne, Washington, DC 20002","2,148 sqft",3,3,$750k
665,"506 Oglethorpe St Ne, Washington, DC 20011","1,024 sqft",2,3,$500k
666,"919 4th St Se, Washington, DC 20003","2,299 sqft",4,4,$1.05m
667,"1334 Wallach Pl Nw, Washington, DC 20009","2,150 sqft",3.5,4,$1.55m
668,"7110 9th St Nw, Washington, DC 20012","3,816 sqft",6,5,$950k
669,"4000 Cathedral Ave Nw Apt 302b, Washington, DC 20016","1,150 sqft",1,1,$295k
670,"1533 Pennsylvania Ave Se, Washington, DC 20003","1,760 sqft",3.5,4,$785k
671,"1015 33rd St Nw Apt 409, Washington, DC 20007","1,018 sqft",1,1,$516k
672,"531 12th St Ne, Washington, DC 20002","2,640 sqft",3.5,4,$1.40m
673,"3025 Ontario Rd Nw Apt 406, Washington, DC 20009","1,115 sqft",2,2,$485k
674,"1000 New Jersey Ave Se Apt 213, Washington, DC 20003","1,027 sqft",2,2,$575k
675,"1309 Whittier Pl Nw, Washington, DC 20012","1,361 sqft",3,3,$650k
676,"2021 N St Nw, Washington, DC 20036","2,745 sqft",4,3,$2.10m
677,"2012 15th St Nw Apt 2, Washington, DC 20009","1,200 sqft",2,2,$799k
678,"323 Todd Pl Ne, Washington, DC 20002","1,424 sqft",2,3,$650k
679,"1072 Paper Mill Ct Nw #1072, Washington, DC 20007","1,050 sqft",2,2,$789k
680,"3833 Cathedral Ave Nw, Washington, DC 20016","5,789 sqft",5.5,4,$2.48m
681,"4916 Rockwood Pkwy Nw, Washington, DC 20016","4,450 sqft",4.5,5,$2.50m
682,"822 Madison St Nw, Washington, DC 20011","1,260 sqft",3,3,$650k
683,"4118 Ellicott St Nw, Washington, DC 20016","1,836 sqft",2,3,$789k
684,"2500 Q St Nw Apt 127, Washington, DC 20007","1,014 sqft",1,1,$395k
685,"2332 Nebraska Ave Nw, Washington, DC 20016","2,500 sqft",3.5,4,$1.29m
686,"3725 12th St Ne Apt 103, Washington, DC 20017",372 sqft,1,N/A,$190k
687,"1829 23rd St Nw, Washington, DC 20008","3,705 sqft",3,3,$2.40m
688,"1727 S St Nw, Washington, DC 20009","3,990 sqft",3.5,6,$2.20m
689,"2201 L St Nw Apt 315, Washington, DC 20037",518 sqft,1,N/A,$305k
690,"4201 Cathedral Ave Nw Apt 1207w, Washington, DC 20016",888 sqft,1,1,$285k
691,"4802 Foxhall Cres Nw, Washington, DC 20007","4,260 sqft",7,7,$1.95m
692,"4407 Gault Pl Ne, Washington, DC 20019",0.08 acres,4,4,$399k
693,"714 Farragut Pl Ne, Washington, DC 20017","1,328 sqft",2,2,$450k
694,"1441 Spring Rd Nw Apt B1, Washington, DC 20010",603 sqft,1,1,$280k
695,"2120 Vermont Ave Nw Apt 415, Washington, DC 20001","1,020 sqft",2,2,$630k
696,"4100 W St Nw Apt 211, Washington, DC 20007",790 sqft,1,1,$309k
697,"1613 Harvard St Nw Suite 115, Washington, DC 20009","1,080 sqft",1,2,$545k
698,"1459 Harvard St Nw Apt 5, Washington, DC 20009","1,131 sqft",2,2,$849k
699,"5526 Macarthur Blvd Nw, Washington, DC 20016","4,650 sqft",5.5,6,$1.75m
700,"64 Channing St Nw, Washington, DC 20001","2,300 sqft",2.5,4,$969k
701,"1437 G St Ne, Washington, DC 20002","1,414 sqft",3,3,$779k
702,"1732 Massachusetts Ave Se, Washington, DC 20003","2,782 sqft",4.5,5,$1.25m
703,"1145 4th St Ne, Washington, DC 20002","2,568 sqft",4,4,$1.10m
704,"512 7th St Ne, Washington, DC 20002","1,484 sqft",2,3,$799k
705,"3810 39th St Nw Apt F126, Washington, DC 20016","1,145 sqft",1,2,$489k
706,"424 Ingraham St Nw, Washington, DC 20011","1,548 sqft",3.5,4,$825k
707,"2425 L St Nw Apt 609, Washington, DC 20037",845 sqft,2,1,$699k
708,"1649 34th St Nw, Washington, DC 20007","1,136 sqft",1,2,$995k
709,"91 14th St Ne #91, Washington, DC 20002",706 sqft,1,1,$374k
710,"1007 S Carolina Ave Se, Washington, DC 20003","1,012 sqft",2,2,$790k
711,"1 Scott Cir Nw #20, Washington, DC 20036",482 sqft,1,1,$225k
712,"1702 Constitution Ave Ne, Washington, DC 20002","1,456 sqft",3,3,$700k
713,"1671 Gales St Ne #2, Washington, DC 20002","1,280 sqft",3,3,$540k
714,"1111 25th St Nw Apt 401, Washington, DC 20037",593 sqft,1,N/A,$385k
715,"5419 Illinois Ave Nw, Washington, DC 20011","1,368 sqft",2,4,$555k
716,"920 3rd St Ne, Washington, DC 20002","1,078 sqft",2,3,$729k
717,"5206 Clay St Ne, Washington, DC 20019","1,200 sqft",2,4,$300k
718,"1658 W Virginia Ave Ne #102, Washington, DC 20002",639 sqft,1,2,$340k
719,"440 L St Nw Unit 713, Washington, DC 20001",787 sqft,1,1,$509k
720,"625 Ellen Wilson Pl Se, Washington, DC 20003","1,113 sqft",3,2,$775k
721,"805 Jefferson St Nw, Washington, DC 20011",0.04 acres,2,3,$560k
722,"400 O St Sw Apt 102, Washington, DC 20024",777 sqft,1,1,$385k
723,"2660 Connecticut Ave Nw Unit 5b, Washington, DC 20008","2,551 sqft",3,2,$2.50m
724,"919 G St Se, Washington, DC 20003","1,102 sqft",2,2,$800k
725,"330 Channing St Ne, Washington, DC 20002","1,028 sqft",1.5,2,$600k
726,"700 New Hampshire Ave Nw #810, Washington, DC 20037","1,217 sqft",2,1,$675k
727,"2617 Brentwood Rd Ne, Washington, DC 20018","1,972 sqft",2.5,3,$625k
728,"1451 Girard St Nw #2, Washington, DC 20009",997 sqft,2,3,$650k
729,"2201 L St Nw Apt 812, Washington, DC 20037",475 sqft,1,N/A,$310k
730,"4555 Grant Rd Nw, Washington, DC 20016",0.09 acres,3,3,$1.20m
731,"1711 Massachusetts Ave Nw #210, Washington, DC 20036",402 sqft,1,N/A,$250k
732,"6907 5th St Nw, Washington, DC 20012","2,937 sqft",3,4,$699k
733,"3900 14th St Nw #p-67, Washington, DC 20011",171 sqft,99,99,$20k
734,"301 47th St Ne, Washington, DC 20019",888 sqft,1,2,$250k
735,"3420 R St Nw, Washington, DC 20007",0.06 acres,N/A,N/A,$1.60m
736,"440 12th St Ne Apt 101, Washington, DC 20002","1,225 sqft",1,2,$580k
737,"1521 33rd St Nw, Washington, DC 20007","1,365 sqft",2,2,$1.05m
738,"1401 K Street Se Unit 1, Washington, DC 20003","1,350 sqft",2,2,$585k
739,"40 U St Nw, Washington, DC 20001","2,610 sqft",3.5,5,$1.33m
740,"3900 Connecticut Ave Nw Apt 203g, Washington, DC 20008","1,126 sqft",1,2,$479k
741,"400 Massachusetts Ave Nw Apt 415, Washington, DC 20001","1,046 sqft",1,2,$550k
742,"509 Sheridan St Nw, Washington, DC 20011","1,054 sqft",3,3,$639k
743,"343 Cedar St Nw Apt 108, Washington, DC 20012","1,273 sqft",3,2,$485k
744,"3303 Water St Nw Unit 5m, Washington, DC 20007","1,794 sqft",2,2,$2.25m
745,"83 Danbury St Sw, Washington, DC 20032","1,152 sqft",3.5,2,$345k
746,"4232 Embassy Park Dr Nw, Washington, DC 20016","1,998 sqft",3.5,2,$799k
747,"3900 14th St Nw Apt 210, Washington, DC 20011",682 sqft,1,1,$290k
748,"437 New York Ave Nw Apt 505, Washington, DC 20001",734 sqft,1,1,$479k
749,"1306 Riggs St Nw, Washington, DC 20009","1,930 sqft",3,3,$1.18m
750,"513 12th St Ne Apt 6, Washington, DC 20002",428 sqft,1,1,$255k
751,"1 Scott Cir Nw #117, Washington, DC 20036",494 sqft,1,1,$269k
752,"5037 Just St Ne, Washington, DC 20019",0.06 acres,3,3,$350k
753,"2807 5th St Ne, Washington, DC 20017",0.03 acres,2,3,$625k
754,"2550 University Pl Nw Apt 5, Washington, DC 20009","1,245 sqft",2,2,$825k
755,"154 D St Se, Washington, DC 20003","1,896 sqft",4,5,$1.10m
756,"1316 W St Ne, Washington, DC 20018","1,680 sqft",2,3,$350k
757,"1425 4th St Sw #317, Washington, DC 20024",508 sqft,1,N/A,$240k
758,"922 24th St Nw Apt 413, Washington, DC 20037",518 sqft,1,N/A,$349k
759,"4116 12th St Ne, Washington, DC 20017","2,208 sqft",2,5,$765k
760,"1701 16th St Nw Apt 125, Washington, DC 20009",544 sqft,1,1,$322k
761,"725 L St Ne, Washington, DC 20002","1,096 sqft",1.5,2,$719k
762,"2036 17th St Nw, Washington, DC 20009","2,193 sqft",3,4,$1.20m
763,"3131 Cherry Rd Ne #32, Washington, DC 20018","1,881 sqft",2.5,3,$400k
764,"1834 Jefferson Pl Nw #19, Washington, DC 20036",711 sqft,1,1,$599k
765,"1616 Decatur St Nw, Washington, DC 20011","1,967 sqft",4,4,$775k
766,"1816 Kalorama Rd Nw Apt 204, Washington, DC 20009",326 sqft,1,N/A,$235k
767,"130 Q St Nw Apt 4, Washington, DC 20001",680 sqft,1,2,$400k
768,"3111 Naylor Rd Se Apt 303, Washington, DC 20020",900 sqft,1,2,$55k
769,"4205 19th Pl Ne, Washington, DC 20018","1,912 sqft",3,3,$520k
770,"514 Rittenhouse St Nw, Washington, DC 20011","1,252 sqft",4,4,$650k
771,"2422 17th St Nw Apt 208, Washington, DC 20009",556 sqft,2,2,$580k
772,"139 Xenia St Se, Washington, DC 20032","2,160 sqft",2,4,$299k
773,"1330 New Hampshire 58 Parking Nw Ave, Washington, DC 20036",N/A,N/A,N/A,$60k
774,"1511 22nd St Nw Apt 15, Washington, DC 20037",425 sqft,1,N/A,$325k
775,"232 14th Pl Ne, Washington, DC 20002",0.04 acres,4,5,$1.25m
776,"3280 Chestnut St Nw, Washington, DC 20015","3,277 sqft",5,6,$1.25m
777,"117 Division Ave Ne, Washington, DC 20019","1,600 sqft",2,5,$435k
778,"423 Warner St Nw, Washington, DC 20001","1,184 sqft",2,3,$749k
779,"4366 Varnum Pl Ne, Washington, DC 20017","1,408 sqft",2.5,4,$220k
780,"220 14th St Ne, Washington, DC 20002","2,335 sqft",3,4,$695k
781,"3437 25th St Se, Washington, DC 20020","1,024 sqft",1,3,$225k
782,"4100 Cathedral Ave Nw #1, Washington, DC 20016","1,590 sqft",2,1,$575k
783,"3420 16th St Nw Apt 102, Washington, DC 20010","1,220 sqft",2,2,$550k
784,"5519 2nd St Nw, Washington, DC 20011","2,437 sqft",4,4,$800k
785,"5519 Bass Pl Se, Washington, DC 20019",0.05 acres,1,2,$265k
786,"1414 22nd St Nw Penthouse 63, Washington, DC 20037","1,960 sqft",3,2,$1.75m
787,"3277 Sutton Pl Nw Apt D, Washington, DC 20016","1,628 sqft",2.5,3,$775k
788,"1124 25th St Nw Apt T1, Washington, DC 20037",477 sqft,1,1,$339k
789,"3510 Overlook Ln Nw, Washington, DC 20016","4,624 sqft",4,5,$2.00m
790,"1353 Sheridan St Nw, Washington, DC 20011",0.04 acres,3,3,$669k
791,"3078 Clinton St Ne, Washington, DC 20018",0.1 acres,2,2,$449k
792,"2700 Virginia Ave Nw #502, Washington, DC 20037","3,400 sqft",4,4,$4.30m
793,"5801 Nebraska Ave Nw, Washington, DC 20015","3,200 sqft",4,4,$1.40m
794,"3512 34th St Nw, Washington, DC 20008","1,580 sqft",2,3,$850k
795,"1821 18th St Se, Washington, DC 20020",0.07 acres,N/A,N/A,$898k
796,"5710 1st St Nw, Washington, DC 20011",0.14 acres,3,3,$749k
797,"4008 12th St Ne, Washington, DC 20017","1,536 sqft",1.5,3,$540k
798,"1365 Kennedy St Nw Apt 303, Washington, DC 20011",625 sqft,1,1,$235k
799,"4640 Easy Pl Se, Washington, DC 20019","1,664 sqft",3,4,$479k
800,"4274 E Capitol St Ne Apt 202, Washington, DC 20019",800 sqft,1,2,$150k
801,"1624 18th St Nw #c, Washington, DC 20009","1,400 sqft",3,2,$1.35m
802,"2149 Florida Ave Nw, Washington, DC 20008","3,580 sqft",4,4,$1.75m
803,"4406 Eads St Ne, Washington, DC 20019",816 sqft,N/A,N/A,$259k
804,"1107 P St Nw, Washington, DC 20005","3,762 sqft",5,6,$1.50m
805,"1706 Trinidad Ave Ne, Washington, DC 20002","3,136 sqft",N/A,N/A,$850k
806,"3147 P St Nw, Washington, DC 20007","6,966 sqft",6,5,$7.50m
807,"1218 Linden Pl Ne, Washington, DC 20002","1,100 sqft",1.5,2,$705k
808,"616 E St Nw Apt 419, Washington, DC 20004",633 sqft,1,N/A,$350k
809,"3030 O St Se, Washington, DC 20020","1,198 sqft",2.5,4,$400k
810,"1025 1st St Se Apt 1415, Washington, DC 20003","1,065 sqft",2,2,$699k
811,"30 Rhode Island Ave Nw, Washington, DC 20001","2,130 sqft",3,3,$1.30m
812,"5232 1st St Nw, Washington, DC 20011",0.04 acres,3,3,$600k
813,"735 Oglethorpe St Ne, Washington, DC 20011",0.07 acres,3,4,$570k
814,"3624 Brothers Pl Se, Washington, DC 20032",0.14 acres,2,5,$450k
815,"2826 Newton St Ne, Washington, DC 20018","2,072 sqft",3,3,$510k
816,"1724 Varnum St Nw, Washington, DC 20011","3,296 sqft",3,4,$895k
817,"1 Scott Cir Nw #517, Washington, DC 20036",494 sqft,1,1,$265k
818,"3420 Half Brown St Nw #a, Washington, DC 20010","2,009 sqft",3,3,$795k
819,"5328 Ames St Ne, Washington, DC 20019","1,782 sqft",2,3,$350k
820,"1946 I St Ne, Washington, DC 20002","1,400 sqft",N/A,N/A,$650k
821,"4007 Connecticut Ave Nw Apt 405, Washington, DC 20008",748 sqft,1,1,$380k
822,"1815 18th St Nw Apt 101, Washington, DC 20009",620 sqft,1,1,$365k
823,"821 Marietta Pl Nw, Washington, DC 20011",0.04 acres,2,3,$505k
824,"607 Ava Cir Ne, Washington, DC 20017","1,644 sqft",4,3,$575k
825,"2501 M St Nw Apt 615, Washington, DC 20037","1,109 sqft",1.5,1,$849k
826,"403 17th St Ne #a, Washington, DC 20002","1,608 sqft",4,3,$729k
827,"3900 Cathedral Ave Nw Apt 505a, Washington, DC 20016",950 sqft,1,1,$345k
828,"4210 Benning Rd Ne Apt 4, Washington, DC 20019",768 sqft,1,2,$109k
829,"3601 Connecticut Ave Nw Apt 507, Washington, DC 20008","1,200 sqft",1,1,$490k
830,"1219 33rd St Nw, Washington, DC 20007","1,887 sqft",2,3,$1.13m
831,"2232 Nicholson St Se, Washington, DC 20020","1,290 sqft",2,3,$650k
832,"1420 N St Nw Apt 301, Washington, DC 20005",925 sqft,1,2,$470k
833,"2450 Ontario Rd Nw #3, Washington, DC 20009","1,257 sqft",2,3,$815k
834,"1401 17th St Nw Apt 908, Washington, DC 20036",122 sqft,1,1,$420k
835,"3610 20th St Ne, Washington, DC 20018",0.06 acres,2,3,$490k
836,"2802 Devonshire Pl Nw Apt 205, Washington, DC 20008",900 sqft,1,2,$449k
837,"1121 24th St Nw Apt 309, Washington, DC 20037",307 sqft,1,N/A,$279k
838,"4201 Cathedral Ave Nw Apt 222w, Washington, DC 20016","1,045 sqft",1,1,$375k
839,"598 Brummel Ct Nw #598, Washington, DC 20012","1,100 sqft",2,2,$399k
840,"3679 Alabama Ave Se Unit B, Washington, DC 20020","1,196 sqft",1,2,$175k
841,"1010 25th St Nw Apt 802, Washington, DC 20037",671 sqft,1,1,$345k
842,"4426 Westover Pl Nw, Washington, DC 20016","2,052 sqft",4.5,3,$1.07m
843,"3622 Jocelyn St Nw, Washington, DC 20015","2,755 sqft",4,4,$1.02m
844,"1620 C St Ne, Washington, DC 20002",0.03 acres,3,4,$574k
845,"1301 Delaware Ave Sw Apt N123, Washington, DC 20024",600 sqft,1,1,$225k
846,"5155 7th St Ne, Washington, DC 20011","1,088 sqft",2,3,$449k
847,"1931 Jackson St Ne, Washington, DC 20018","3,000 sqft",4,6,$950k
848,"25 D St Se Apt A, Washington, DC 20003","1,348 sqft",2.5,2,$1.60m
849,"1461 Chapin St Nw #4, Washington, DC 20009","2,173 sqft",4,3,$2.10m
850,"1461 Chapin St Nw #1, Washington, DC 20009",836 sqft,2,2,$799k
851,"1150 K St Nw Apt 611, Washington, DC 20005","1,060 sqft",2,2,$580k
852,"1217 10th St Nw Apt B, Washington, DC 20001","1,493 sqft",3,3,$1.40m
853,"1217 10th St Nw Apt A, Washington, DC 20001","1,827 sqft",3,2,$1.60m
854,"1240 Oates St Ne, Washington, DC 20002","1,294 sqft",1,3,$549k
855,"1729 Wisconsin Ave Nw, Washington, DC 20007",0.07 acres,N/A,N/A,$2.90m
856,"1719 U St Nw #3, Washington, DC 20009",786 sqft,2,2,$635k
857,"3918 Southern Ave Se Unit B, Washington, DC 20020","1,225 sqft",1,2,$197k
858,"1018 Florida Ave Ne Apt 102, Washington, DC 20002",682 sqft,1.5,1,$299k
859,"1118 3rd St Ne, Washington, DC 20002",0.02 acres,1,2,$675k
860,"310 20th St Ne, Washington, DC 20002","1,436 sqft",2,3,$640k
861,"2811 N St Nw, Washington, DC 20007","1,686 sqft",3,3,$1.80m
862,"2433 Girard Pl Ne, Washington, DC 20018",0.1 acres,N/A,N/A,$219k
863,"1391 Pennsylvania Ave Se Unit M04, Washington, DC 20003",728 sqft,1,1,$415k
864,"3860 Rodman St Nw Apt C225, Washington, DC 20016",913 sqft,1,2,$475k
865,"3701 Connecticut Ave Nw Apt 518, Washington, DC 20008",897 sqft,1,1,$375k
866,"444 M St Nw Apt 7, Washington, DC 20001",935 sqft,1,2,$579k
867,"1941 Bennett Pl Ne, Washington, DC 20002","1,244 sqft",3,3,$525k
868,"555 Massachusetts Ave Nw Apt 803, Washington, DC 20001",929 sqft,2,2,$650k
869,"1156 4th St Ne, Washington, DC 20002","1,368 sqft",4,3,$950k
870,"618 Chesapeake St Se, Washington, DC 20032","1,449 sqft",2.5,3,$360k
871,"604 Columbia Rd Nw #2, Washington, DC 20001","1,440 sqft",2.5,2,$649k
872,"7537 12th St Nw, Washington, DC 20012","4,300 sqft",3,5,$1.28m
873,"3039 Macomb St Nw Apt 23, Washington, DC 20008",660 sqft,1,1,$328k
874,"800 25th St Nw #302, Washington, DC 20037","2,067 sqft",3,2,$1.20m
875,"4707 47th St Nw, Washington, DC 20016","1,368 sqft",2,3,$899k
876,"709 7th St Ne, Washington, DC 20002","2,181 sqft",4,4,$995k
877,"1225 13th St Nw Apt 707, Washington, DC 20005",643 sqft,1,1,$400k
878,"207 R St Nw Apt 5, Washington, DC 20001",833 sqft,1,2,$450k
879,"1668 Kalorama Rd Nw, Washington, DC 20009",0.02 acres,1,2,$649k
880,"4440 Lowell St Nw, Washington, DC 20016","2,082 sqft",3.5,4,$1.33m
881,"1844 Columbia Rd Nw Apt 305, Washington, DC 20009",470 sqft,1,1,$299k
882,"6952 33rd St Nw, Washington, DC 20015","1,157 sqft",2,2,$699k
883,"2500 Q St Nw Apt 745, Washington, DC 20007",886 sqft,1,1,$375k
884,"2807 4th St Ne, Washington, DC 20002","1,144 sqft",N/A,N/A,$495k
885,"4000 Cathedral Ave Nw Apt 152b, Washington, DC 20016","1,800 sqft",2,2,$749k
886,"1217 T St Nw, Washington, DC 20009","2,012 sqft",3,3,$1.59m
887,"2500 Virginia Ave Nw #717-s, Washington, DC 20037","1,612 sqft",2.5,2,$2.20m
888,"3805 V St Se, Washington, DC 20020",848 sqft,1,2,$186k
889,"1822 New Hampshire Ave Nw Apt 4, Washington, DC 20009",730 sqft,1,1,$475k
890,"4827 Yuma St Nw, Washington, DC 20016","1,386 sqft",2.5,3,$799k
891,"1015 33rd St Nw Apt 705, Washington, DC 20007","1,527 sqft",3,2,$849k
892,"726 Girard St Nw #1, Washington, DC 20001","2,627 sqft",4,4,$899k
893,"921 Butternut St Nw Apt 104, Washington, DC 20012",802 sqft,2,2,$380k
894,"4209 50th St Nw, Washington, DC 20016","4,100 sqft",4,5,$1.78m
895,"1613 35th St Nw, Washington, DC 20007","3,280 sqft",4,4,$2.73m
896,"1463 A St Ne #1463, Washington, DC 20002",805 sqft,1,1,$415k
897,"616 E St Nw Apt 1154, Washington, DC 20004","1,665 sqft",4,3,$1.03m
898,"316 Gallatin St Nw, Washington, DC 20011","1,400 sqft",3,4,$770k
899,"709 Emerson St Ne, Washington, DC 20017",816 sqft,1,2,$479k
900,"5427 Kansas Ave Nw, Washington, DC 20011",0.04 acres,4,5,$820k
901,"1500 D St Se, Washington, DC 20003","1,401 sqft",4,3,$1.50m
902,"7014 31st St Nw, Washington, DC 20015","3,160 sqft",3,3,$885k
903,"2117 11th St Nw Apt 3, Washington, DC 20001","1,070 sqft",2,2,$825k
904,"4007 Connecticut Ave Nw Unit 408, Washington, DC 20008",784 sqft,1,1,$399k
905,"1314 Riggs St Nw, Washington, DC 20009","2,360 sqft",3.5,5,$1.38m
906,"1620 Corcoran St Nw Apt B, Washington, DC 20009","1,200 sqft",2,2,$639k
907,"2425 L St Nw Apt 936, Washington, DC 20037","1,789 sqft",2,2,$1.59m
908,"3020 Dent Pl Nw Apt 12w, Washington, DC 20007",792 sqft,1,1,$579k
909,"703 Kentucky Ave Se, Washington, DC 20003","1,868 sqft",3,4,$865k
910,"460 New York Ave Nw Unit 807, Washington, DC 20001","1,134 sqft",2,2,$780k
911,"426 M St Nw Apt F, Washington, DC 20001",815 sqft,1,2,$579k
912,"1245 13th St Nw Apt 611, Washington, DC 20005",644 sqft,1,1,$384k
913,"315 18th St Ne, Washington, DC 20002","2,216 sqft",2,4,$615k
914,"631 Constitution Ave Ne, Washington, DC 20002",N/A,N/A,N/A,$2.80m
915,"1938 Biltmore St Nw Apt D, Washington, DC 20009","1,040 sqft",1.5,2,$500k
916,"1301 Delaware Ave Sw Apt N402, Washington, DC 20024",500 sqft,1,N/A,$145k
917,"1503 K St Se #301, Washington, DC 20003","1,020 sqft",2,2,$599k
918,"701 Pennsylvania Ave Nw Apt 1209, Washington, DC 20004",550 sqft,1,1,$445k
919,"610 3rd St Se Apt 10, Washington, DC 20003",494 sqft,1,1,$340k
920,"1211 I St Ne, Washington, DC 20002","1,334 sqft",3,2,$749k
921,"1635 A St Ne, Washington, DC 20002","1,152 sqft",4,3,$799k
922,"1 Logan Cir Nw Apt 2, Washington, DC 20005","1,437 sqft",2,2,$799k
923,"1444 Taylor St Nw Unit 03, Washington, DC 20011","1,000 sqft",2.5,2,$639k
924,"1705 P St Nw Apt 1, Washington, DC 20036",447 sqft,1,1,$375k
925,"1828 Riggs Pl Nw Apt 26, Washington, DC 20009",334 sqft,1,N/A,$259k
926,"1101 3rd St Sw Apt 112, Washington, DC 20024",526 sqft,1,1,$339k
927,"437 New York Ave Nw Apt 212, Washington, DC 20001",690 sqft,1,1,$449k
928,"3113 Chestnut St Ne, Washington, DC 20018","1,312 sqft",1.5,2,$399k
929,"3205 Central Ave Ne, Washington, DC 20018","1,105 sqft",2,4,$450k
930,"3430 Brown St Nw Apt 3, Washington, DC 20010","1,571 sqft",3,3,$679k
931,"1954 Columbia Rd Nw Apt 106, Washington, DC 20009",392 sqft,1,N/A,$235k
932,"532 11th St Se, Washington, DC 20003","2,216 sqft",3,3,$1.05m
933,"531 2nd St Se, Washington, DC 20003","1,458 sqft",1,3,$1.35m
934,"915 E St Nw Apt 1008, Washington, DC 20004",781 sqft,1,2,$470k
935,"1609 D St Ne, Washington, DC 20002","1,374 sqft",2,3,$769k
936,"2939 Van Ness St Nw Apt 722, Washington, DC 20008",798 sqft,1,1,$320k
937,"1902 C St Ne, Washington, DC 20002","1,260 sqft",4,4,$799k
938,"1 Logan Cir Nw Apt 8, Washington, DC 20005","1,370 sqft",2,2,$1.18m
939,"3425 14th St Ne, Washington, DC 20017","3,500 sqft",3,4,$1.25m
940,"3001 Veazey Ter Nw Apt 508, Washington, DC 20008","1,330 sqft",2,2,$525k
941,"1107 4th St Ne, Washington, DC 20002","1,534 sqft",3,3,$799k
942,"1121 Fairmont St Nw Apt 2, Washington, DC 20009","1,576 sqft",2,2,$770k
943,"1416 18th Pl Se, Washington, DC 20020",0.04 acres,2,3,$346k
944,"1312 Rittenhouse St Nw, Washington, DC 20011","2,040 sqft",4,4,$845k
945,"4343 Garfield St Nw, Washington, DC 20007","5,000 sqft",6,5,$2.90m
946,"4740 Connecticut Ave Nw Apt 802, Washington, DC 20008","1,454 sqft",2,2,$440k
947,"4320 46th St Nw, Washington, DC 20016","1,700 sqft",3.5,5,$1.10m
948,"4301 Massachusetts Ave Nw Apt 6009, Washington, DC 20016","1,084 sqft",2,2,$410k
949,"1390 V St Nw Apt 413, Washington, DC 20009",872 sqft,2,1,$540k
950,"1727 Massachusetts Ave Nw #316, Washington, DC 20036",650 sqft,N/A,N/A,$349k
951,"1668 Trinidad Ave Ne Apt 1, Washington, DC 20002",716 sqft,1,2,$289k
952,"3239 N St Nw Apt 11, Washington, DC 20007",600 sqft,1,1,$529k
953,"768 Lamont St Nw, Washington, DC 20010",844 sqft,1.5,2,$550k
954,"1526 17th St Nw Apt 301, Washington, DC 20036","1,255 sqft",2,2,$675k
955,"218 3rd St Ne #29, Washington, DC 20002",587 sqft,1,1,$460k
956,"212 9th St Se, Washington, DC 20003","2,139 sqft",4,4,$1.15m
957,"1632 Eckington Pl Ne, Washington, DC 20002","1,152 sqft",1,2,$739k
958,"1514 44th St Nw, Washington, DC 20007","2,160 sqft",3,5,$1m
959,"3628 Winfield Ln Nw, Washington, DC 20007","2,622 sqft",3.5,4,$1.50m
960,"218a 3rd St Ne #29, Washington, DC 20002",587 sqft,1,1,$460k
961,"1230 Duncan Pl Ne, Washington, DC 20002","1,300 sqft",1.5,3,$750k
962,"5021 Ayers Pl Se, Washington, DC 20019",660 sqft,1,2,$200k
963,"2439 Monroe St Ne, Washington, DC 20018","1,835 sqft",2,4,$575k
964,"1742 L St Ne, Washington, DC 20002",870 sqft,1,2,$499k
965,"5233 Connecticut Ave Nw Apt 301, Washington, DC 20015",920 sqft,2,1,$475k
966,"4425 Upton St Nw, Washington, DC 20016","2,354 sqft",3,3,$999k
967,"1458 Columbia Rd Nw Apt 103, Washington, DC 20009",604 sqft,1,1,$279k
968,"2904 M Pl Se, Washington, DC 20019","1,200 sqft",2,3,$324k
969,"92 Sheridan St Ne, Washington, DC 20011","2,137 sqft",2,3,$489k
970,"1321 Staples St Ne, Washington, DC 20002","1,296 sqft",3.5,4,$830k
971,"672 Brandywine St Se, Washington, DC 20032","1,536 sqft",2,3,$277k
972,"500 Florida Ave Nw Apt 1, Washington, DC 20001",673 sqft,2,2,$415k
973,"2328 Champlain St Nw Apt 101, Washington, DC 20009","1,595 sqft",2,2,$770k
974,"3606 Grant Pl Ne, Washington, DC 20019","1,924 sqft",3.5,3,$415k
975,"2108 48th St Nw, Washington, DC 20007","3,070 sqft",3,5,$1.30m
976,"3261 Fort Lincoln Dr Ne, Washington, DC 20018","2,160 sqft",3.5,4,$590k
977,"1528 S St Se, Washington, DC 20020","2,590 sqft",4,5,$749k
978,"3101 New Mexico Ave Nw Apt 236, Washington, DC 20016","1,173 sqft",1,1,$550k
979,"3612 Wright Terrace Ne, Washington, DC 20018","2,400 sqft",4,3,$630k
980,"621 Columbia Rd Nw, Washington, DC 20001","1,922 sqft",3.5,4,$825k
